PROVIDER,ADDRESS,FACILITY_NAME,POSTAL_CODE,long,lat
Toronto Police Services,2054 Davenport Road,11 Division,M6N,-79.4608250666,43.6710711235
Toronto Police Services,200 Trethewey Drive,12 Division,M6M,-79.4868725404,43.6945705556
Toronto Police Services,1435 Eglinton Avenue West,13 Division,M6C,-79.4366797565,43.6983186592
Toronto Police Services,350 Dovercourt Road,14 Division,M6J,-79.425977959,43.6512969102
Toronto Police Services,3699 Bloor Street West,22 Division,M9A,-79.5291812758,43.6430983188
Toronto Police Services,5230 Finch Avenue West,23 Division,M9V,-79.5835183809,43.7438574702
Toronto Police Services,40 Norfinch Drive,31 Division,M3N,-79.5274709954,43.756741875
Toronto Police Services,30 Ellerslie Avenue,32 Division,M2N ,-79.4150839351,43.7717196003
Toronto Police Services,50 Upjohn Road,33 Division,M3B,-79.350065436,43.751073042
Toronto Police Services,2222 Eglinton Avenue East,41 Division,M1K,-79.2771072499,43.7307968924
Toronto Police Services,242 Milner Avenue,42 Division,M1S,-79.2400089024,43.7893652821
Toronto Police Services,4331 Lawrence Avenue East,43 Division,M1E,-79.1740534091,43.7708267406
Toronto Police Services,51 Parliament Street,51 Division,M5A,-79.3621390105,43.6519428059
Toronto Police Services,255 Dundas Street West,52 Division,M5T,-79.3897143571,43.6542004358
Toronto Police Services,75 Eglinton Avenue West,53 Division,M4R,-79.4006585666,43.706051421
Toronto Police Services,41 Cranfield Road,54 Division,M4B,-79.3094795584,43.7145997819
Toronto Police Services,101 Coxwell Avenue,55 Division,M4L,-79.3172961299,43.6691714301
Toronto Police Services,9 Hanna Avenue,Traffic Services/Central Garage,M6K,-79.4172208014,43.6376228367
Toronto Police Services,39 Howden Road,East Collision Reporting Centre,M1R,-79.2882346934,43.74954689
Toronto Police Services,113 Toryork Drive,North Collision Reporting Centre,M9L,-79.5515319167,43.7564005694
Toronto Police Services,91 Manitoba Drive,Mounted Unit,M6K,-79.4180945629,43.6352580377
Toronto Police Services,70 Birmingham Street,Toronto Police College,M8V,-79.5034791058,43.6050756359
Toronto Police Services,40 College Street,Headquarters,M5G,-79.385139665,43.6613491317
Toronto Police Services,330 Progress Avenue,Parking Enforcement East/Headquarters,M1P,-79.2685354552,43.7741645339
Toronto Police Services,970 Lawrence Avenue West,Parking Enforcement West,M6A,-79.4582891072,43.7137524308
Toronto Police Services,259 Queens Quay West,Marine Headquarters,M5V,-79.3858708187,43.6378612698
Toronto Police Services,2050 Jane Street Building B,Fleet/Garage Storage/Radio & Electronics,M9N,-79.509211566,43.7162818048
Toronto Police Services,2050 Jane Street Bld. A,Forensics Identification Services (FIS),M9N,-79.509211566,43.7162818048
Toronto Police Services,951 Wilson Avenue,Telecom,M3K,-79.4753382728,43.72801969
Toronto Police Services,44 Beechwood Drive,Police Dog Services,M4K,-79.3544361968,43.696607962
Toronto Police Services,40 Toryork Drive,Police Vehicle Operations,M9L,-79.5451711892,43.7545480598
Toronto Police Services,18 Cranfield Road,Cranfield Garage,M4B,-79.3139855285,43.7104617179
